filename,width,height,class,xmin,ymin,xmax,ymax
0065.jpg,332,133,no_comercial,42,31,95,108
0065.jpg,332,133,no_comercial,91,19,169,105
0065.jpg,332,133,no_comercial,165,35,233,102
0065.jpg,332,133,no_comercial,231,34,287,104
0066.jpg,332,133,no_comercial,5,21,80,120
0066.jpg,332,133,no_comercial,99,33,207,121
0066.jpg,332,133,no_comercial,219,33,293,117
0067.jpg,332,133,no_comercial,0,48,63,116
0067.jpg,332,133,no_comercial,63,53,142,117
0067.jpg,332,133,no_comercial,141,36,244,118
0067.jpg,332,133,no_comercial,245,27,318,110
0068.jpg,332,133,comercial,87,41,166,108
0068.jpg,332,133,no_comercial,35,36,88,110
0068.jpg,332,133,no_comercial,0,29,41,116
0068.jpg,332,133,no_comercial,162,32,227,109
0068.jpg,332,133,no_comercial,227,42,281,108
0071.jpg,332,133,comercial,180,52,207,84
0071.jpg,332,133,comercial,152,59,181,87
0071.jpg,332,133,comercial,206,56,234,86
0071.jpg,332,133,comercial,228,59,262,90
0071.jpg,332,133,comercial,68,57,102,85
0073.jpg,332,133,no_comercial,86,48,283,87
0074.jpg,332,133,no_comercial,86,48,283,98
0076.jpg,332,133,no_comercial,160,54,215,91
0076.jpg,332,133,no_comercial,213,42,272,91
0076.jpg,332,133,comercial,65,61,133,106
0076.jpg,332,133,comercial,133,58,158,92
0077.jpg,332,133,no_comercial,162,53,224,95
0077.jpg,332,133,no_comercial,219,55,252,90
0079.jpg,332,133,no_comercial,0,28,331,125
0082.jpg,332,133,no_comercial,123,40,206,111
0082.jpg,332,133,no_comercial,218,45,276,117
0082.jpg,332,133,comercial,75,43,122,100
0082.jpg,332,133,no_comercial,34,47,68,105
0086.jpg,332,133,comercial,0,52,57,101
0086.jpg,332,133,comercial,48,48,123,110
0086.jpg,332,133,no_comercial,119,41,194,103
0086.jpg,332,133,comercial,267,53,331,100
0090.jpg,332,133,comercial,0,53,130,117
0090.jpg,332,133,comercial,268,67,327,112
0090.jpg,332,133,no_comercial,132,36,235,105
0094.jpg,332,133,no_comercial,170,50,227,96
0094.jpg,332,133,no_comercial,103,19,144,108
0094.jpg,332,133,comercial,141,67,162,104
0094.jpg,332,133,comercial,243,60,272,99
0094.jpg,332,133,comercial,34,60,66,100
0095.jpg,332,133,comercial,9,68,49,109
0095.jpg,332,133,comercial,53,67,112,115
0095.jpg,332,133,comercial,122,59,188,110
0095.jpg,332,133,comercial,191,60,261,118
0096.jpg,332,133,no_comercial,56,32,100,75
0096.jpg,332,133,no_comercial,95,27,131,79
0096.jpg,332,133,no_comercial,128,38,160,80
0096.jpg,332,133,no_comercial,153,39,189,84
0096.jpg,332,133,no_comercial,184,43,226,84
0098.jpg,332,133,no_comercial,0,39,331,103
0100.jpg,332,133,comercial,105,70,145,104
0100.jpg,332,133,comercial,246,68,273,97
0100.jpg,332,133,comercial,279,69,310,93
0100.jpg,332,133,no_comercial,35,64,100,109
0100.jpg,332,133,no_comercial,143,36,194,102
0100.jpg,332,133,no_comercial,191,36,247,103
0101.jpg,332,133,comercial,52,67,85,110
0101.jpg,332,133,no_comercial,89,38,136,103
0101.jpg,332,133,no_comercial,138,29,200,103
0101.jpg,332,133,no_comercial,204,34,252,100
0101.jpg,332,133,no_comercial,252,46,279,101
0101.jpg,332,133,comercial,276,62,301,103
0101.jpg,332,133,comercial,303,67,326,110
0121.jpg,332,133,no_comercial,104,54,331,105
0123.jpg,332,133,no_comercial,132,38,199,95
0123.jpg,332,133,no_comercial,207,43,277,84
0123.jpg,332,133,no_comercial,66,37,130,95
0123.jpg,332,133,no_comercial,0,43,63,88
0124.jpg,332,133,comercial,151,70,202,115
0124.jpg,332,133,no_comercial,209,71,284,109
0124.jpg,332,133,no_comercial,16,43,149,126
0125.jpg,332,133,no_comercial,119,54,204,114
0125.jpg,332,133,comercial,115,10,214,52
0125.jpg,332,133,no_comercial,22,34,117,118
0126.jpg,332,133,no_comercial,107,38,331,105
0129.jpg,332,133,no_comercial,22,47,331,101
0130.jpg,332,133,no_comercial,0,43,316,98
0132.jpg,332,133,no_comercial,0,47,331,104
0135.jpg,332,133,comercial,236,80,317,132
0136.jpg,332,133,no_comercial,0,28,331,121
0142.jpg,332,133,no_comercial,0,53,228,93
0142.jpg,332,133,comercial,233,55,294,85
0148.jpg,332,133,comercial,116,51,148,82
0148.jpg,332,133,no_comercial,150,55,219,87
0148.jpg,332,133,no_comercial,222,55,325,90
0148.jpg,332,133,no_comercial,3,50,111,89
0150.jpg,332,133,no_comercial,83,56,240,95
0150.jpg,332,133,comercial,242,61,278,97
0150.jpg,332,133,comercial,0,55,55,100
0154.jpg,332,133,no_comercial,0,49,331,117
0155.jpg,332,133,no_comercial,0,51,331,116
0157.jpg,332,133,comercial,169,70,199,92
0157.jpg,332,133,no_comercial,218,69,331,108
0157.jpg,332,133,no_comercial,54,61,168,95
0157.jpg,332,133,comercial,28,67,50,86
0158.jpg,332,133,no_comercial,0,54,331,95
0159.jpg,332,133,comercial,189,64,232,89
0159.jpg,332,133,no_comercial,27,55,186,91
0159.jpg,332,133,no_comercial,230,52,331,94
0164.jpg,332,133,no_comercial,0,47,331,98
0165.jpg,332,133,no_comercial,0,44,331,96
0168.jpg,332,133,comercial,151,55,188,98
0168.jpg,332,133,no_comercial,192,37,331,77
0170.jpg,332,133,no_comercial,51,54,276,117
0171.jpg,332,133,no_comercial,0,37,331,104
0175.jpg,332,133,comercial,124,64,152,92
0175.jpg,332,133,comercial,156,65,177,95
0175.jpg,332,133,comercial,255,61,294,94
0175.jpg,332,133,comercial,71,61,105,104
0175.jpg,332,133,comercial,29,60,67,102
0180.jpg,332,133,no_comercial,0,54,331,110
0181.jpg,332,133,no_comercial,0,25,331,110
0185.jpg,332,133,no_comercial,32,26,262,111
0187.jpg,332,133,no_comercial,0,27,192,89
0187.jpg,332,133,no_comercial,246,46,326,109
0188.jpg,332,133,no_comercial,0,36,331,95
0194.jpg,332,133,no_comercial,0,50,331,104
0196.jpg,332,133,no_comercial,0,37,331,112
0197.jpg,332,133,no_comercial,0,32,330,117
0199.jpg,332,133,no_comercial,0,34,331,107
0200.jpg,332,133,no_comercial,0,25,331,113
0201.jpg,332,133,no_comercial,0,33,331,122
0202.jpg,332,133,no_comercial,117,39,215,99
0202.jpg,332,133,no_comercial,217,43,301,101
0202.jpg,332,133,no_comercial,85,45,114,98
0202.jpg,332,133,comercial,58,59,85,99
0202.jpg,332,133,comercial,0,50,63,105
0203.jpg,332,133,no_comercial,0,40,331,94
0209.jpg,332,133,no_comercial,0,40,87,92
0209.jpg,332,133,no_comercial,84,50,128,90
0209.jpg,332,133,no_comercial,137,39,173,93
0209.jpg,332,133,no_comercial,171,26,205,84
0212.jpg,332,133,comercial,64,65,82,79
0212.jpg,332,133,comercial,129,63,153,77
0212.jpg,332,133,comercial,113,63,127,77
0212.jpg,332,133,comercial,158,65,183,78
0213.jpg,332,133,no_comercial,0,24,331,97
0214.jpg,332,133,comercial,124,62,160,94
0214.jpg,332,133,comercial,95,62,126,89
0214.jpg,332,133,comercial,219,61,264,97
0214.jpg,332,133,no_comercial,24,22,92,82
0215.jpg,332,133,no_comercial,267,16,330,108
0215.jpg,332,133,no_comercial,165,57,265,96
0215.jpg,332,133,no_comercial,87,30,115,76
0215.jpg,332,133,no_comercial,4,27,65,64
0221.jpg,332,133,no_comercial,0,45,331,122
0223.jpg,332,133,no_comercial,0,54,331,127
0226.jpg,332,133,no_comercial,22,44,330,124
0229.jpg,332,133,comercial,68,53,132,110
0229.jpg,332,133,comercial,133,68,169,115
0229.jpg,332,133,comercial,173,68,222,123
0229.jpg,332,133,comercial,124,39,216,86
0234.jpg,332,133,no_comercial,0,41,319,103
0240.jpg,332,133,no_comercial,0,37,331,119
0242.jpg,332,133,no_comercial,114,43,202,112
0242.jpg,332,133,no_comercial,36,5,133,112
0242.jpg,332,133,no_comercial,0,16,64,92
0242.jpg,332,133,no_comercial,179,19,263,105
0243.jpg,332,133,no_comercial,49,2,120,112
0243.jpg,332,133,no_comercial,113,5,172,97
0243.jpg,332,133,no_comercial,0,6,59,100
0243.jpg,332,133,comercial,194,59,266,122
0243.jpg,332,133,no_comercial,189,22,280,65
0243.jpg,332,133,no_comercial,246,4,310,83
0246.jpg,332,133,no_comercial,0,41,331,105
0247.jpg,332,133,no_comercial,0,42,329,125
0248.jpg,332,133,comercial,113,49,153,104
0248.jpg,332,133,comercial,47,52,111,94
0248.jpg,332,133,no_comercial,226,25,331,129
0248.jpg,332,133,no_comercial,185,22,220,100
0249.jpg,332,133,comercial,156,47,215,129
0249.jpg,332,133,comercial,232,49,321,124
0249.jpg,332,133,comercial,66,48,142,127
0249.jpg,332,133,comercial,11,51,74,126
0254.jpg,332,133,comercial,148,55,179,83
0254.jpg,332,133,no_comercial,111,51,149,79
0254.jpg,332,133,no_comercial,85,28,112,84
0254.jpg,332,133,comercial,247,57,292,103
0254.jpg,332,133,no_comercial,188,51,241,97
0260.jpg,332,133,no_comercial,0,40,331,104
0261.jpg,332,133,no_comercial,0,38,331,110
0270.jpg,332,133,no_comercial,14,34,331,115
0272.jpg,332,133,no_comercial,0,31,331,118
0273.jpg,332,133,comercial,29,45,87,89
0273.jpg,332,133,no_comercial,108,49,331,106
0276.jpg,332,133,no_comercial,215,12,331,118
0277.jpg,332,133,no_comercial,0,20,331,116
0279.jpg,332,133,no_comercial,0,34,331,103
0284.jpg,332,133,no_comercial,125,47,331,113
0287.jpg,332,133,no_comercial,0,31,331,118
0288.jpg,332,133,comercial,276,54,317,111
0288.jpg,332,133,comercial,89,48,169,91
0288.jpg,332,133,comercial,191,58,239,102
0288.jpg,332,133,comercial,27,45,55,93
0288.jpg,332,133,comercial,231,57,283,97
0294.jpg,332,133,no_comercial,1,37,331,111
0303.jpg,332,133,no_comercial,0,37,331,122
0304.jpg,332,133,no_comercial,0,38,331,122
0306.jpg,332,133,no_comercial,19,46,135,97
0306.jpg,332,133,no_comercial,140,53,194,100
0306.jpg,332,133,no_comercial,195,43,241,99
0306.jpg,332,133,no_comercial,233,47,275,95
0310.jpg,332,133,no_comercial,78,35,132,91
0310.jpg,332,133,no_comercial,28,46,74,87
0310.jpg,332,133,no_comercial,209,50,244,103
0314.jpg,332,133,comercial,0,65,75,110
0314.jpg,332,133,no_comercial,71,44,330,97
0316.jpg,332,133,no_comercial,0,24,331,110
0317.jpg,332,133,no_comercial,33,34,319,111
0318.jpg,332,133,no_comercial,61,24,123,107
0318.jpg,332,133,no_comercial,118,6,179,105
0318.jpg,332,133,no_comercial,188,11,274,103
0318.jpg,332,133,no_comercial,273,41,331,102
0319.jpg,332,133,no_comercial,146,16,192,111
0319.jpg,332,133,no_comercial,80,18,144,103
0319.jpg,332,133,no_comercial,43,27,79,111
0319.jpg,332,133,no_comercial,191,15,226,105
0323.jpg,332,133,no_comercial,193,50,278,102
0323.jpg,332,133,no_comercial,124,35,195,100
0323.jpg,332,133,no_comercial,51,23,125,101
0324.jpg,332,133,no_comercial,155,46,236,99
0324.jpg,332,133,comercial,93,58,124,93
0324.jpg,332,133,no_comercial,234,35,279,86
0324.jpg,332,133,no_comercial,47,33,95,88
0325.jpg,332,133,no_comercial,162,41,277,99
0325.jpg,332,133,no_comercial,109,41,162,91
0325.jpg,332,133,no_comercial,67,31,114,89
0325.jpg,332,133,no_comercial,0,24,71,92
0325.jpg,332,133,no_comercial,275,46,331,103
0328.jpg,332,133,no_comercial,90,16,196,99
0328.jpg,332,133,no_comercial,182,25,278,93
0328.jpg,332,133,no_comercial,9,27,99,97
0329.jpg,332,133,comercial,76,52,110,93
0329.jpg,332,133,no_comercial,131,41,189,99
0329.jpg,332,133,no_comercial,5,24,57,98
0329.jpg,332,133,comercial,247,30,331,95
0329.jpg,332,133,no_comercial,191,58,255,93
0330.jpg,332,133,no_comercial,152,49,241,93
0330.jpg,332,133,no_comercial,0,43,112,96
0332.jpg,332,133,no_comercial,0,21,331,111
0333.jpg,332,133,no_comercial,157,37,218,97
0333.jpg,332,133,no_comercial,218,48,306,98
0333.jpg,332,133,no_comercial,29,50,124,88
0337.jpg,332,133,no_comercial,0,37,331,111
0340.jpg,332,133,no_comercial,0,37,331,116
0341.jpg,332,133,no_comercial,0,32,331,113
0342.jpg,332,133,comercial,170,77,212,119
0342.jpg,332,133,no_comercial,76,38,152,113
0342.jpg,332,133,no_comercial,222,46,328,117
0343.jpg,332,133,comercial,194,38,246,88
0343.jpg,332,133,no_comercial,120,30,175,96
0343.jpg,332,133,no_comercial,89,23,129,82
0343.jpg,332,133,no_comercial,60,23,96,79
0344.jpg,332,133,comercial,199,58,223,86
0344.jpg,332,133,comercial,179,57,198,83
0344.jpg,332,133,comercial,155,63,179,84
0344.jpg,332,133,no_comercial,50,37,154,95
0344.jpg,332,133,no_comercial,223,41,303,103
0349.jpg,332,133,no_comercial,91,54,248,87
0357.jpg,332,133,comercial,12,58,50,91
0359.jpg,332,133,comercial,124,66,150,86
0359.jpg,332,133,no_comercial,148,49,331,90
0364.jpg,332,133,no_comercial,0,51,143,93
0364.jpg,332,133,no_comercial,158,42,217,95
0364.jpg,332,133,no_comercial,277,27,331,91
0370.jpg,332,133,no_comercial,138,34,202,103
0370.jpg,332,133,no_comercial,208,55,331,120
0370.jpg,332,133,no_comercial,85,50,133,102
0372.jpg,332,133,no_comercial,0,28,158,117
0372.jpg,332,133,comercial,217,36,331,116
0376.jpg,332,133,no_comercial,0,65,331,120
0377.jpg,332,133,no_comercial,231,54,331,106
0377.jpg,332,133,no_comercial,62,32,232,110
0377.jpg,332,133,no_comercial,0,27,61,107
0379.jpg,332,133,no_comercial,0,23,331,112
0381.jpg,332,133,no_comercial,113,37,171,87
0381.jpg,332,133,no_comercial,170,51,220,80
0381.jpg,332,133,comercial,226,56,256,86
0381.jpg,332,133,comercial,94,55,117,89
0381.jpg,332,133,comercial,69,54,96,83
0381.jpg,332,133,comercial,0,60,39,88
0381.jpg,332,133,no_comercial,34,53,68,91
0381.jpg,332,133,no_comercial,263,41,328,92
0382.jpg,332,133,no_comercial,118,30,242,99
0382.jpg,332,133,no_comercial,237,23,331,104
0383.jpg,332,133,no_comercial,0,8,246,112
0385.jpg,332,133,comercial,43,57,113,86
0388.jpg,332,133,comercial,151,61,193,83
0388.jpg,332,133,comercial,124,60,142,83
0388.jpg,332,133,comercial,195,71,237,91
0388.jpg,332,133,comercial,192,51,230,70
0388.jpg,332,133,comercial,54,59,83,83
0392.jpg,332,133,comercial,64,45,108,89
0392.jpg,332,133,no_comercial,141,44,214,93
0392.jpg,332,133,no_comercial,216,47,278,91
0401.jpg,332,133,no_comercial,146,42,237,98
0401.jpg,332,133,no_comercial,240,34,331,106
0401.jpg,332,133,no_comercial,54,25,134,86
0401.jpg,332,133,no_comercial,0,22,75,90
0402.jpg,332,133,comercial,199,58,244,107
0402.jpg,332,133,comercial,145,62,183,105
0402.jpg,332,133,comercial,5,3,113,105
0403.jpg,332,133,comercial,115,50,170,96
0403.jpg,332,133,comercial,187,56,224,97
0403.jpg,332,133,comercial,220,54,264,96
0403.jpg,332,133,comercial,38,51,72,99
0403.jpg,332,133,comercial,0,57,32,101
0408.jpg,332,133,no_comercial,90,53,145,96
0408.jpg,332,133,no_comercial,134,50,198,94
0408.jpg,332,133,comercial,223,63,246,93
0408.jpg,332,133,no_comercial,250,53,331,103
0409.jpg,332,133,no_comercial,0,47,331,117
0414.jpg,332,133,no_comercial,0,50,331,120
0415.jpg,332,133,no_comercial,0,61,331,112
0420.jpg,332,133,no_comercial,62,50,94,77
0420.jpg,332,133,no_comercial,92,48,132,77
0420.jpg,332,133,no_comercial,141,50,184,87
0420.jpg,332,133,comercial,280,58,293,75
0420.jpg,332,133,comercial,296,42,329,82
0421.jpg,332,133,comercial,168,53,194,101
0421.jpg,332,133,comercial,194,57,222,101
0421.jpg,332,133,comercial,0,63,35,103
0421.jpg,332,133,no_comercial,34,59,68,101
0421.jpg,332,133,no_comercial,65,51,123,101
0421.jpg,332,133,no_comercial,211,0,310,96
0426.jpg,332,133,comercial,26,54,118,92
0426.jpg,332,133,comercial,188,62,222,91
0426.jpg,332,133,comercial,221,62,279,88
0427.jpg,332,133,no_comercial,0,59,331,117
0429.jpg,332,133,no_comercial,0,38,331,113
0432.jpg,332,133,no_comercial,0,38,331,104
0433.jpg,332,133,no_comercial,0,40,331,129
0438.jpg,332,133,no_comercial,9,23,74,110
0438.jpg,332,133,comercial,85,20,138,109
0438.jpg,332,133,comercial,130,48,172,114
0438.jpg,332,133,comercial,171,27,237,112
0438.jpg,332,133,comercial,227,48,270,106
0438.jpg,332,133,comercial,267,38,331,104
0439.jpg,332,133,comercial,52,52,121,101
0439.jpg,332,133,comercial,0,42,53,101
0439.jpg,332,133,comercial,130,65,174,99
0439.jpg,332,133,comercial,133,43,228,103
0439.jpg,332,133,comercial,211,70,240,99
0439.jpg,332,133,comercial,239,51,296,102
0439.jpg,332,133,comercial,288,63,331,106
0445.jpg,332,133,no_comercial,0,33,331,111
0447.jpg,332,133,no_comercial,0,38,331,114
0449.jpg,332,133,comercial,83,56,139,95
0449.jpg,332,133,comercial,145,56,172,95
0449.jpg,332,133,comercial,172,54,203,93
0449.jpg,332,133,comercial,251,57,287,94
0449.jpg,332,133,comercial,0,54,53,104
0454.jpg,332,133,no_comercial,0,41,329,111
0455.jpg,332,133,no_comercial,0,37,317,117
0458.jpg,332,133,comercial,0,33,83,81
0458.jpg,332,133,no_comercial,90,56,330,124
0459.jpg,332,133,comercial,84,56,130,88
0459.jpg,332,133,comercial,167,38,231,96
0459.jpg,332,133,comercial,44,55,84,84
0472.jpg,332,133,comercial,6,11,140,91
0478.jpg,332,133,comercial,124,55,154,77
0479.jpg,332,133,comercial,191,57,234,90
0479.jpg,332,133,comercial,256,56,285,96
0479.jpg,332,133,comercial,63,51,92,76
0479.jpg,332,133,comercial,99,59,128,77
0482.jpg,332,133,comercial,175,18,241,91
0482.jpg,332,133,comercial,240,9,311,86
0482.jpg,332,133,comercial,158,69,175,85
0482.jpg,332,133,comercial,141,65,156,86
0482.jpg,332,133,comercial,109,12,173,91
0482.jpg,332,133,comercial,12,11,86,90
0482.jpg,332,133,comercial,34,44,60,83
0483.jpg,332,133,comercial,106,58,139,82
0483.jpg,332,133,comercial,50,64,78,74
0483.jpg,332,133,comercial,195,57,223,77
0489.jpg,332,133,comercial,252,47,277,90
0489.jpg,332,133,comercial,211,52,247,93
0489.jpg,332,133,comercial,172,48,211,94
0489.jpg,332,133,comercial,133,49,180,95
0489.jpg,332,133,comercial,71,50,109,99
0489.jpg,332,133,comercial,32,49,72,98
0489.jpg,332,133,comercial,0,42,37,97
0494.jpg,332,133,comercial,0,63,48,102
0494.jpg,332,133,comercial,48,63,110,95
0499.jpg,332,133,comercial,87,59,134,92
0499.jpg,332,133,comercial,201,57,224,79
0503.jpg,332,133,no_comercial,33,35,100,101
0503.jpg,332,133,no_comercial,94,48,190,99
0503.jpg,332,133,no_comercial,183,44,331,117
0511.jpg,332,133,no_comercial,91,47,233,94
0511.jpg,332,133,no_comercial,41,38,97,98
0511.jpg,332,133,no_comercial,1,40,55,99
0516.jpg,332,133,comercial,78,55,120,91
0516.jpg,332,133,no_comercial,119,51,177,89
0516.jpg,332,133,no_comercial,175,49,230,79
0516.jpg,332,133,no_comercial,314,45,331,88
0516.jpg,332,133,comercial,288,59,311,88
0516.jpg,332,133,no_comercial,0,23,68,85
0517.jpg,332,133,no_comercial,287,47,331,94
0517.jpg,332,133,no_comercial,235,48,286,93
0517.jpg,332,133,no_comercial,174,30,238,90
0517.jpg,332,133,no_comercial,121,27,176,88
0517.jpg,332,133,no_comercial,47,16,118,87
0518.jpg,332,133,no_comercial,95,60,218,104
0518.jpg,332,133,no_comercial,31,32,91,102
0519.jpg,332,133,no_comercial,0,29,331,120
0520.jpg,332,133,no_comercial,167,44,241,94
0520.jpg,332,133,no_comercial,235,39,284,98
0520.jpg,332,133,no_comercial,98,23,168,94
0520.jpg,332,133,no_comercial,50,23,103,89
0520.jpg,332,133,no_comercial,2,20,49,91
0522.jpg,332,133,comercial,188,48,252,80
0522.jpg,332,133,comercial,148,37,191,83
0522.jpg,332,133,comercial,0,39,42,83
0522.jpg,332,133,comercial,263,19,331,88
0523.jpg,332,133,comercial,110,62,133,75
0523.jpg,332,133,no_comercial,170,37,331,86
0528.jpg,332,133,no_comercial,4,38,331,114
0529.jpg,332,133,no_comercial,0,26,331,100
0530.jpg,332,133,no_comercial,74,38,316,94
0530.jpg,332,133,no_comercial,0,25,68,86
0536.jpg,332,133,comercial,60,62,91,79
0536.jpg,332,133,comercial,41,61,60,80
0536.jpg,332,133,comercial,25,62,44,80
0536.jpg,332,133,comercial,7,62,27,79
0536.jpg,332,133,comercial,151,56,180,79
0536.jpg,332,133,comercial,181,57,197,75
0536.jpg,332,133,comercial,202,52,224,77
0536.jpg,332,133,comercial,225,53,242,78
0536.jpg,332,133,comercial,243,52,261,78
0536.jpg,332,133,comercial,261,54,276,77
0536.jpg,332,133,comercial,275,64,293,77
0536.jpg,332,133,comercial,292,47,316,80
0537.jpg,332,133,comercial,120,60,143,72
0537.jpg,332,133,comercial,149,61,163,73
0537.jpg,332,133,comercial,180,61,198,73
0537.jpg,332,133,comercial,236,57,260,73
0537.jpg,332,133,comercial,23,64,39,77
0537.jpg,332,133,comercial,56,63,71,77
0537.jpg,332,133,comercial,84,54,120,75
0544.jpg,332,133,no_comercial,193,36,310,87
0544.jpg,332,133,no_comercial,148,31,193,90
0546.jpg,332,133,comercial,199,63,243,91
0546.jpg,332,133,no_comercial,122,49,203,94
0546.jpg,332,133,no_comercial,73,48,121,94
0547.jpg,332,133,no_comercial,133,18,217,97
0547.jpg,332,133,no_comercial,212,9,331,93
0547.jpg,332,133,no_comercial,37,29,128,96
0548.jpg,332,133,comercial,147,42,190,89
0548.jpg,332,133,comercial,239,43,306,104
0554.jpg,332,133,no_comercial,0,26,331,128
0556.jpg,332,133,no_comercial,15,62,73,114
0556.jpg,332,133,no_comercial,80,58,163,119
0556.jpg,332,133,no_comercial,159,25,280,120
0557.jpg,332,133,no_comercial,113,24,165,107
0557.jpg,332,133,no_comercial,159,46,238,113
0557.jpg,332,133,no_comercial,213,40,324,115
0557.jpg,332,133,no_comercial,56,28,113,100
0557.jpg,332,133,no_comercial,2,38,55,92
0558.jpg,332,133,no_comercial,0,18,331,114
0559.jpg,332,133,no_comercial,141,26,331,110
0561.jpg,332,133,no_comercial,0,33,331,111
0564.jpg,332,133,comercial,59,55,100,75
0564.jpg,332,133,no_comercial,212,50,282,90
0570.jpg,332,133,no_comercial,0,24,331,104
0571.jpg,332,133,no_comercial,94,9,285,119
0571.jpg,332,133,no_comercial,252,13,323,89
0571.jpg,332,133,no_comercial,5,34,94,87
0577.jpg,332,133,no_comercial,0,40,110,91
0577.jpg,332,133,no_comercial,169,52,331,91
0579.jpg,332,133,no_comercial,223,26,295,86
0579.jpg,332,133,no_comercial,153,16,230,94
0579.jpg,332,133,no_comercial,51,37,151,106
0584.jpg,332,133,comercial,226,60,255,87
0584.jpg,332,133,comercial,275,53,296,81
0584.jpg,332,133,no_comercial,138,55,189,82
0584.jpg,332,133,no_comercial,50,49,127,91
0601.jpg,332,133,no_comercial,0,29,331,103
0617.jpg,332,133,no_comercial,0,13,52,109
0617.jpg,332,133,no_comercial,51,5,96,116
0617.jpg,332,133,no_comercial,91,5,183,112
0617.jpg,332,133,no_comercial,186,26,310,119
0619.jpg,332,133,no_comercial,239,28,331,121
0619.jpg,332,133,no_comercial,140,56,242,122
0619.jpg,332,133,no_comercial,55,52,142,109
0619.jpg,332,133,no_comercial,0,15,51,115
0628.jpg,332,133,no_comercial,3,33,331,104
0635.jpg,332,133,no_comercial,163,2,328,126
0635.jpg,332,133,comercial,78,57,139,116
0635.jpg,332,133,no_comercial,0,32,76,112
0638.jpg,332,133,no_comercial,0,45,156,121
0638.jpg,332,133,comercial,166,87,187,111
0638.jpg,332,133,no_comercial,237,45,331,118
0646.jpg,332,133,no_comercial,0,37,331,106
0652.jpg,332,133,no_comercial,0,38,331,121
0655.jpg,332,133,no_comercial,0,29,331,114
